Industry,22-Mar,···,22-Dec,23-Jan,23-Feb,23-Mar,MoM% Change,YoY% Change
Accommodation,1.18,···,1,0.98,NA,NA,NA,NA
Accommodation and Food Services,NA,···,NA,NA,0.98,0.94,-4.4,NA
Administrative and Support Services,1.31,···,1.04,1,0.98,0.97,-0.8,-26.3
Construction,1.37,···,1.14,1.18,1.09,1.07,-1.5,-21.7
Consumer Services,1.24,···,1.09,1.09,1.1,1.08,-1.4,-12.6
Education,1.36,···,1.17,1.15,1.18,1.21,2.6,-10.9
Entertainment Providers,1.15,···,0.92,0.92,0.88,0.85,-3.4,-25.6
"Farming, Ranching, Forestry",1.55,···,1.23,1.14,1.09,1.22,11.7,-21.7
Financial Services,1.49,···,1.12,1.13,1.05,1.04,-1.2,-30.2
Government Administration,1.18,···,1.12,1.14,1.08,1.08,-0.3,-8.7
Holding Companies,1.32,···,0.91,0.93,0.84,0.87,2.5,-34.3
Hospitals and Health Care,1.33,···,1.13,1.16,1.1,1.14,3.7,-14.7
Manufacturing,1.29,···,0.98,0.99,0.91,0.93,2,-28.3
"Oil, Gas, and Mining",1.18,···,0.97,0.98,0.92,0.96,4.2,-18.5
Professional Services,1.35,···,0.97,0.94,0.92,0.92,0.2,-31.8
Real Estate and Equipment Rental Services,1.41,···,1.08,0.97,1,0.99,-0.7,-29.3
Retail,1.16,···,0.96,0.87,0.85,0.84,-1.7,-28.1
"Technology, Information and Media",1.6,···,0.91,0.9,0.81,0.8,-1.2,-50.1
"Transportation, Logistics, Supply Chain and Storage",1.52,···,1.19,1.15,1.12,1.11,-0.7,-26.6
Utilities,1.42,···,1.32,1.3,1.24,1.31,5.8,-7.5
