Industry,21-May,···,22-Feb,22-Mar,22-Apr,22-May,MoM% Change,YoY% Change
Accommodation,1.12,···,1.16,1.17,1.14,1.17,2.9,4.3
Administrative and Support Services,1.07,···,1.25,1.28,1.25,1.28,2.3,18.8
Construction,1.16,···,1.25,1.32,1.3,1.34,3.2,15.6
Consumer Services,1.19,···,1.13,1.15,1.23,1.19,-3.1,0
Education,1.08,···,1.28,1.29,1.36,1.31,-3.6,20.7
Entertainment Providers,1.07,···,1.23,1.21,1.2,1.19,-0.4,11.5
"Farming, Ranching, Forestry",1.32,···,1.28,1.39,1.31,1.26,-4.3,-4.9
Financial Services,1.18,···,1.32,1.38,1.43,1.43,0.3,21.7
Government Administration,1.06,···,1.07,1.14,1.17,1.18,0.9,11.3
Holding Companies,0.99,···,1.31,1.33,1.33,1.2,-9.2,21.6
Hospitals and Health Care,1.23,···,1.2,1.28,1.26,1.34,6.1,8.2
Manufacturing,1.18,···,1.17,1.22,1.27,1.24,-2.6,5
"Oil, Gas, and Mining",0.96,···,1.06,1.18,1.16,1.14,-1.9,18.1
Professional Services,1.16,···,1.29,1.38,1.31,1.3,-0.5,12.4
Real Estate and Equipment Rental Services,1.3,···,1.25,1.35,1.36,1.37,1.2,5.1
Retail,1.1,···,1.05,1.12,1.12,1.14,1,3.4
"Technology, Information and Media",1.29,···,1.46,1.51,1.49,1.52,2.1,17.5
"Transportation, Logistics and Storage",1.27,···,1.43,1.51,1.44,1.47,2.4,16
Utilities,1.06,···,1.21,1.16,1.16,1.13,-2.9,7.1
Wholesale,1.06,···,1.09,1.19,1.15,1.16,0.5,9.3
